ags,strasse,ort,hnr,wahlbezirk_nr,wahlbezirk_name,wahlraum_name,wahlraum_addresse,wahlraum_addresse2,wahlbehoerde,hausnummer_start,hausnummer_ende,note
3358024,Ahornring,Walsrode,[1 - 112],102,"0102 Hans-Brüggemann-Schule, Wahlraum 2","102 - Hans-Brüggemann-Schule, Wahlraum 2",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,112,
3358024,Ahornstraße,Walsrode OT Bomlitz,[1 - 49],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,49,
3358024,Ahrsener Straße,Walsrode OT Borg,[1 - 26],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,26,
3358024,Akazienstraße,Walsrode,[1 - 26],102,"0102 Hans-Brüggemann-Schule, Wahlraum 2","102 - Hans-Brüggemann-Schule, Wahlraum 2",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,26,
3358024,Albert-Einstein-Straße,Walsrode,[1 - 10],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,10,
3358024,Albrecht-Thaer-Straße,Walsrode,[1 - 25],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,25,
3358024,Altenboitzen,Walsrode OT Altenboitzen,[2 - 120],109,0109 Altenboitzen,109 - Altenboitzen,Altenboitzen 3,29664 Walsrode,Stadt Walsrode,2,120,
3358024,Alter Celler Weg,Walsrode OT Düshorn,[3 - 52],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,3,52,
3358024,Alter Postweg,Walsrode,[1 - 37],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,37,
3358024,Am Ahlersteich,Walsrode,[2 - 4] gerade,118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,2,4,gerade
3358024,Am Anger,Walsrode OT Bomlitz,[1 - 18],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,18,
3358024,Am Anger,Walsrode OT Düshorn,[1 - 12],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,12,
3358024,Am Badeteich,Walsrode,[1 - 95],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,95,
3358024,Am Bahndamm,Walsrode,[1 - 12],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,12,
