datum,wahl,ags,gebiet-nr,gebiet-name,max-schnellmeldungen,anz-schnellmeldungen,A1,A2,A3,A,B,B1,C,D,E,F,D1,F1,D2,F2,D3,F3,D4,F4,D5,F5,D6,F6,D7,F7,D8,F8,D9,F9,D10,F10,D11,F11,D12,F12,D13,F13,D14,F14,D15,F15,D16,F16,ort_fix,coord,x,y,stadt
23.02.2025,Bundestagswahl,3358024,127,127 Düshorn,1,1,1252,406,0,1658,1080,1,8,1072,5,1075,468,283,281,279,52,92,19,33,216,236,,86,,4,,5,,1,17,12,,1,19,8,,2,,0,,4,,29,"Walsrode,127 Düshorn",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,118,118 Gymnasium,1,1,1376,348,0,1724,920,4,8,912,5,915,435,258,184,197,74,105,15,39,173,166,,81,,10,,0,,3,13,5,,4,18,9,,1,,0,,0,,37,"Walsrode,118 Gymnasium",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,117,"117 Alte Schule Vorbrück, Wahlraum 2",1,1,1207,286,0,1493,852,3,6,846,2,850,357,208,166,203,41,62,19,22,223,217,,80,,7,,1,,3,20,6,,2,20,8,,0,,0,,0,,31,"Walsrode,117 Alte Schule Vorbrück, Wahlraum 2",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,114,114 Grundschule am Markt,1,1,842,236,0,1078,614,2,3,611,2,612,279,164,132,130,29,38,17,31,126,132,,73,,8,,0,,1,12,4,,0,16,5,,1,,0,,2,,23,"Walsrode,114 Grundschule am Markt",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,115,"115 Kulturzentrum ""mittendrin""",1,1,875,345,0,1220,709,0,3,706,1,708,355,194,153,174,21,58,11,25,147,141,,72,,4,,1,,0,10,5,,1,9,4,,0,,0,,0,,29,"Walsrode,115 Kulturzentrum ""mittendrin""",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,101,"101 Hans-Brüggemann-Schule, Wahlraum 1",1,1,979,273,0,1252,720,5,7,713,4,716,323,189,145,147,36,50,16,18,170,171,,71,,10,,2,,5,11,9,,2,12,6,,0,,0,,0,,36,"Walsrode,101 Hans-Brüggemann-Schule, Wahlraum 1",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,131,131 Bomlitz Ost,1,1,1041,319,0,1360,866,0,4,862,2,864,366,246,227,221,29,66,21,33,186,176,,67,,12,,3,,4,19,2,,0,14,5,,2,,0,,5,,22,"Walsrode,131 Bomlitz Ost",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,103,103 Grundschule Süd,1,1,1167,303,0,1470,855,0,6,849,7,848,404,260,163,189,25,34,16,24,204,203,,65,,8,,1,,5,21,12,,3,16,9,,0,,0,,0,,35,"Walsrode,103 Grundschule Süd",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,102,"102 Hans-Brüggemann-Schule, Wahlraum 2",1,1,1045,336,0,1381,824,5,4,820,2,822,416,252,180,199,28,80,11,24,159,163,,58,,7,,1,,4,7,5,,2,19,11,,0,,0,,0,,16,"Walsrode,102 Hans-Brüggemann-Schule, Wahlraum 2",#ERROR!,#ERROR!,,Walsrode
23.02.2025,Bundestagswahl,3358024,132,132 Bomlitz West,1,1,798,171,0,969,606,1,4,602,2,604,286,200,81,93,32,31,13,19,157,158,,55,,8,,0,,0,16,7,,4,17,6,,2,,0,,0,,21,"Walsrode,132 Bomlitz West",#ERROR!,#ERROR!,,Walsrode
